,Total_Matches,Total_Matches_Reg,Home_Matches_Reg,Total_Matches_AET,Home_Matches_AET,Total_Matches_Pens,Home_Matches_Pens,Home_Wins_Reg,Home_Ties_Reg,Away_Wins_Reg,Away_Ties_Reg,Home_Goals_Reg,Home_Goals_Conceded_Reg,Away_Goals_Reg,Away_Goals_Conceded_Reg,Home_Wins_AET,Home_Ties_AET,Away_Wins_AET,Away_Ties_AET,Home_Wins_Pens,Away_Wins_Pens,Reg_Win_%,Reg_Tie_%,AET_Win_%,AET_Tie_%,Pens_Win_%,Away_Reg_Win_%,Home_Reg_Win_%,Away_Reg_Tie_%,Home_Reg_Tie_%,Away_AET_Win_%,Home_AET_Win_%,Away_AET_Tie_%,Home_AET_Tie_%,Away_Pens_Win_%,Home_Pens_Win_%,Avg_Home_Goals_Reg,Avg_Home_Goals_Conceded_Reg,Avg_Away_Goals_Reg,Avg_Away_Goals_Conceded_Reg
Zenit St. Petersburg,42,42,21,0,0,0,0,8,8,7,2,28,23,19,31,0,0,0,0,0,0,0.35714285714285715,0.23809523809523808,,,,0.3333333333333333,0.38095238095238093,0.09523809523809523,0.38095238095238093,,,,,,,1.3333333333333333,1.0952380952380953,0.9047619047619048,1.4761904761904763
Manchester United,66,61,30,5,2,0,0,19,10,16,9,57,29,47,31,0,0,3,0,0,0,0.5737704918032787,0.3114754098360656,0.6,0.0,,0.5161290322580645,0.6333333333333333,0.2903225806451613,0.3333333333333333,1.0,0.0,0.0,0.0,,,1.9,0.9666666666666667,1.5161290322580645,1.0
Villarreal,16,14,6,2,2,0,0,2,3,1,2,9,12,6,15,0,0,0,0,0,0,0.21428571428571427,0.35714285714285715,0.0,0.0,,0.125,0.3333333333333333,0.25,0.5,,0.0,,0.0,,,1.5,2.0,0.75,1.875
AC Milan,42,40,20,2,1,0,0,6,8,6,7,24,18,27,38,0,0,1,0,0,0,0.3,0.375,0.5,0.0,,0.3,0.3,0.35,0.4,1.0,0.0,0.0,0.0,,,1.2,0.9,1.35,1.9
APOEL Nikosia,22,22,11,0,0,0,0,3,2,0,5,7,16,7,18,0,0,0,0,0,0,0.13636363636363635,0.3181818181818182,,,,0.0,0.2727272727272727,0.45454545454545453,0.18181818181818182,,,,,,,0.6363636363636364,1.4545454545454546,0.6363636363636364,1.6363636363636365
Maccabi Haifa,6,6,3,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,,,0.0,1.6666666666666667,0.0,1.0
Besiktas,6,6,3,0,0,0,0,0,0,1,1,1,6,2,2,0,0,0,0,0,0,0.16666666666666666,0.16666666666666666,,,,0.3333333333333333,0.0,0.3333333333333333,0.0,,,,,,,0.3333333333333333,2.0,0.6666666666666666,0.6666666666666666
VfL Wolfsburg,16,16,8,0,0,0,0,6,1,3,0,13,6,11,13,0,0,0,0,0,0,0.5625,0.0625,,,,0.375,0.75,0.0,0.125,,,,,,,1.625,0.75,1.375,1.625
CSKA Moskva,36,34,16,2,2,0,0,5,5,4,3,23,27,20,39,0,0,0,0,0,0,0.2647058823529412,0.23529411764705882,0.0,0.0,,0.2222222222222222,0.3125,0.16666666666666666,0.3125,,0.0,,0.0,,,1.4375,1.6875,1.1111111111111112,2.1666666666666665
FC Zurich,6,6,3,0,0,0,0,0,1,1,0,3,7,2,7,0,0,0,0,0,0,0.16666666666666666,0.16666666666666666,,,,0.3333333333333333,0.0,0.0,0.3333333333333333,,,,,,,1.0,2.3333333333333335,0.6666666666666666,2.3333333333333335
Standard Liege,6,6,3,0,0,0,0,1,1,0,1,5,4,2,5,0,0,0,0,0,0,0.16666666666666666,0.3333333333333333,,,,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,,,,1.6666666666666667,1.3333333333333333,0.6666666666666666,1.6666666666666667
Olympiacos,40,40,20,0,0,0,0,14,0,5,2,33,25,17,35,0,0,0,0,0,0,0.475,0.05,,,,0.25,0.7,0.1,0.0,,,,,,,1.65,1.25,0.85,1.75
AZ Alkmaar,6,6,3,0,0,0,0,0,3,0,1,2,2,2,6,0,0,0,0,0,0,0.0,0.6666666666666666,,,,0.0,0.0,0.3333333333333333,1.0,,,,,,,0.6666666666666666,0.6666666666666666,0.6666666666666666,2.0
Debreceni VSC,6,6,3,0,0,0,0,0,0,0,0,3,9,2,10,0,0,0,0,0,0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,,,1.0,3.0,0.6666666666666666,3.3333333333333335
Rubin Kazan,12,12,6,0,0,0,0,1,5,1,1,3,2,3,9,0,0,0,0,0,0,0.16666666666666666,0.5,,,,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.8333333333333334,,,,,,,0.5,0.3333333333333333,0.5,1.5
VfB Stuttgart,8,7,3,1,1,0,0,1,2,1,2,6,6,4,6,0,0,0,0,0,0,0.2857142857142857,0.5714285714285714,0.0,0.0,,0.25,0.3333333333333333,0.5,0.6666666666666666,,0.0,,0.0,,,2.0,2.0,1.0,1.5
Rangers,12,12,6,0,0,0,0,1,1,0,4,4,12,3,7,0,0,0,0,0,0,0.08333333333333333,0.4166666666666667,,,,0.0,0.16666666666666666,0.6666666666666666,0.16666666666666666,,,,,,,0.6666666666666666,2.0,0.5,1.1666666666666667
Sevilla,14,13,7,1,0,0,0,4,1,2,1,10,6,11,12,0,0,1,0,0,0,0.46153846153846156,0.15384615384615385,1.0,0.0,,0.3333333333333333,0.5714285714285714,0.16666666666666666,0.14285714285714285,1.0,,0.0,,,,1.4285714285714286,0.8571428571428571,1.8333333333333333,2.0
Unirea Urziceni,6,6,3,0,0,0,0,1,2,1,0,3,2,5,6,0,0,0,0,0,0,0.3333333333333333,0.3333333333333333,,,,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,,,,,,,1.0,0.6666666666666666,1.6666666666666667,2.0
Bursaspor,6,6,3,0,0,0,0,0,1,0,0,1,8,1,8,0,0,0,0,0,0,0.0,0.16666666666666666,,,,0.0,0.0,0.0,0.3333333333333333,,,,,,,0.3333333333333333,2.6666666666666665,0.3333333333333333,2.6666666666666665
Valencia CF,28,26,13,2,1,0,0,7,3,4,4,33,16,15,16,0,0,1,0,0,0,0.4230769230769231,0.2692307692307692,0.5,0.0,,0.3076923076923077,0.5384615384615384,0.3076923076923077,0.23076923076923078,1.0,0.0,0.0,0.0,,,2.5384615384615383,1.2307692307692308,1.1538461538461537,1.2307692307692308
SL Benfica,44,43,21,1,1,0,0,12,5,5,5,30,20,20,33,0,0,0,0,0,0,0.3953488372093023,0.23255813953488372,0.0,0.0,,0.22727272727272727,0.5714285714285714,0.22727272727272727,0.23809523809523808,,0.0,,0.0,,,1.4285714285714286,0.9523809523809523,0.9090909090909091,1.5
